epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,46.4377,0.41792,2.25854,0.94831,0.80591,0.69704,0.85532,0.81033,0.34151,1.04724,0.82806,0.00025553,0.00025553,0.00025553
2,87.9638,0.39876,1.02726,0.89257,0.64942,0.71436,0.83004,0.78557,0.33619,1.46327,0.77966,0.000509246,0.000509246,0.000509246
3,129.103,0.38261,0.88113,0.89042,0.75111,0.76126,0.81269,0.76136,0.44701,1.19007,0.88568,0.000749764,0.000749764,0.000749764
4,171.43,0.37015,0.67488,0.89201,0.64975,0.80889,0.69733,0.65322,0.3786,7.27062,0.85118,0.000977083,0.000977083,0.000977083
5,213.857,0.37776,0.60959,0.88902,0.82777,0.61745,0.75929,0.71157,0.63594,1.51327,1.09396,0.00100101,0.00100101,0.00100101
6,254.742,0.40701,0.5703,0.90404,0.86173,0.77739,0.95425,0.92083,0.35442,0.97642,0.84971,0.000973514,0.000973514,0.000973514
7,294.697,0.37324,0.55377,0.895,0.74763,0.81818,0.82705,0.80081,0.3341,1.08871,0.8378,0.000946016,0.000946016,0.000946016
8,334.482,0.35571,0.513,0.88701,0.77921,0.89015,0.8349,0.76829,0.58903,0.80445,1.07294,0.000918519,0.000918519,0.000918519
9,372.152,0.34673,0.49629,0.88036,0.89075,0.83516,0.9935,0.95175,0.26785,0.57931,0.77603,0.000891022,0.000891022,0.000891022
10,409.393,0.32889,0.45492,0.87612,0.95021,0.99073,0.995,0.97809,0.26515,0.31886,0.77685,0.000863525,0.000863525,0.000863525
11,447.583,0.32577,0.41999,0.88183,0.83171,0.88001,0.9902,0.96806,0.28651,0.6476,0.78602,0.000836027,0.000836027,0.000836027
12,485.522,0.31952,0.39514,0.88734,0.80381,0.92055,0.94158,0.93198,0.24155,0.4542,0.76345,0.00080853,0.00080853,0.00080853
13,523.549,0.27996,0.34524,0.85776,0.98124,0.96958,0.995,0.97942,0.23934,0.25796,0.7643,0.000781033,0.000781033,0.000781033
14,559.685,0.28528,0.3322,0.86307,0.909,0.93674,0.995,0.98843,0.2315,0.37209,0.76282,0.000753536,0.000753536,0.000753536
15,598.898,0.28615,0.39096,0.85609,0.79946,0.84043,0.95377,0.95196,0.21823,0.52283,0.7578,0.000726038,0.000726038,0.000726038
16,638.206,0.27808,0.39746,0.86233,0.98024,0.98149,0.995,0.98863,0.28067,0.2754,0.78263,0.000698541,0.000698541,0.000698541
17,678.028,0.28457,0.35309,0.863,0.98513,1,0.995,0.98952,0.22954,0.22665,0.75622,0.000671044,0.000671044,0.000671044
18,717.741,0.27469,0.34398,0.86617,0.75962,0.91762,0.94339,0.93432,0.2088,0.7479,0.75762,0.000643547,0.000643547,0.000643547
19,759.04,0.27011,0.32888,0.85674,0.97679,1,0.995,0.98879,0.21283,0.27918,0.75871,0.000616049,0.000616049,0.000616049
20,797.723,0.26274,0.3143,0.85284,0.95236,1,0.995,0.98494,0.20039,0.20652,0.74669,0.000588552,0.000588552,0.000588552
21,838.968,0.25411,0.30575,0.85098,0.97837,1,0.995,0.98895,0.1809,0.2138,0.73626,0.000561055,0.000561055,0.000561055
22,879.433,0.23762,0.26591,0.84452,0.9781,0.99492,0.995,0.98511,0.20319,0.23172,0.74747,0.000533558,0.000533558,0.000533558
23,919.584,0.23453,0.27086,0.84979,0.98389,1,0.995,0.99387,0.1855,0.1851,0.73887,0.00050606,0.00050606,0.00050606
24,960.235,0.2283,0.28352,0.83754,0.98058,1,0.995,0.99366,0.18455,0.18699,0.74146,0.000478563,0.000478563,0.000478563
25,997.837,0.23019,0.28992,0.84706,0.98666,1,0.995,0.99387,0.16819,0.16525,0.73789,0.000451066,0.000451066,0.000451066
26,1037.32,0.22479,0.28164,0.84575,0.98663,1,0.995,0.995,0.15825,0.20177,0.73819,0.000423569,0.000423569,0.000423569
27,1078.05,0.22656,0.26795,0.84463,0.98268,1,0.995,0.995,0.18079,0.20134,0.7384,0.000396071,0.000396071,0.000396071
28,1120.24,0.21892,0.26417,0.84208,0.92433,0.97908,0.995,0.9939,0.18514,0.18546,0.73985,0.000368574,0.000368574,0.000368574
29,1162.85,0.21285,0.24788,0.83327,0.98328,0.98184,0.995,0.995,0.16669,0.16767,0.73702,0.000341077,0.000341077,0.000341077
30,1203.88,0.21115,0.24301,0.83343,0.98414,1,0.995,0.99406,0.15849,0.15217,0.7327,0.00031358,0.00031358,0.00031358
31,1253.13,0.16823,0.19336,0.78519,0.99075,1,0.995,0.995,0.15122,0.13534,0.72978,0.000286083,0.000286083,0.000286083
32,1295.48,0.16219,0.1905,0.78139,0.98532,0.99585,0.995,0.99402,0.15462,0.14248,0.73316,0.000258585,0.000258585,0.000258585
